sp2,sp3,numO,numN,
63,45,16,31,0
38,29,14,12,0
27,20,10,9,0
24,14,7,6,0
15,19,6,5,0
12,8,3,2,0
32,16,10,6,0
12,9,5,4,0
37,31,14,13,0
16,12,5,3,0
36,19,9,11,0
9,11,4,3,0
79,68,25,22,0
42,43,14,12,0
22,22,7,6,0
23,11,6,4,0
48,23,16,10,0
16,10,5,4,0
9,10,4,3,0
38,18,9,6,0
34,16,9,7,0
9,15,4,3,0
18,16,8,5,0
11,4,3,4,0
48,36,19,14,0
16,16,6,7,0
23,24,8,8,0
45,33,16,13,0
20,20,6,7,0
15,12,5,3,0
22,20,8,5,0
9,12,4,4,0
14,9,3,8,0
35,13,8,5,0
9,11,4,3,0
34,26,14,8,0
10,7,3,5,0
9,6,5,2,0
18,18,8,7,0
16,14,5,4,0
13,8,4,2,0
9,12,5,3,0
30,27,11,9,0
50,42,15,16,0
15,10,7,4,0
9,11,4,3,0
12,9,5,4,0
20,11,5,6,0
9,16,4,4,0
9,11,4,3,0
18,28,7,7,0
23,10,6,7,0
13,9,4,3,0
41,27,12,12,0
24,20,6,7,0
9,12,4,3,0
49,25,11,14,0
27,30,11,9,0
9,11,4,3,0
9,4,5,2,0
22,23,7,9,0
10,9,3,5,0
12,11,5,4,0
18,19,8,6,0
18,23,7,7,0
13,9,4,3,0
18,10,4,4,0
9,5,5,2,0
9,15,4,5,0
15,9,4,3,0
35,16,11,6,0
13,9,4,3,0
45,32,13,13,0
25,26,8,11,0
18,5,4,4,0
18,22,8,6,0
9,12,4,3,0
12,4,3,2,0
29,15,6,12,0
18,21,7,6,0
31,18,8,10,0
9,9,4,3,0
39,25,12,11,0
6,3,3,2,0
57,62,22,22,0
27,24,10,9,0
28,14,5,7,0
12,13,5,4,0
43,27,14,9,0
56,44,19,17,0
12,13,5,4,0
32,18,10,10,0
46,34,13,14,0
9,8,4,3,0
20,16,6,7,0
45,26,14,10,0
36,32,15,10,0
18,14,4,5,0
18,20,7,6,0
33,20,12,9,0
9,8,4,3,0
6,7,3,2,0
12,13,5,4,0
29,18,6,9,0
30,23,9,9,0
16,10,6,3,0
23,13,6,7,0
15,5,5,2,0
15,8,3,3,0
42,34,14,11,0
9,11,4,3,0
34,36,13,14,0
12,6,4,2,0
18,19,7,7,0
60,45,22,14,0
41,16,11,6,0
39,25,13,11,0
13,8,4,2,0
12,19,5,4,0
12,12,5,4,0
13,6,5,2,0
13,14,4,6,0
15,15,7,5,0
34,21,10,6,0
13,5,4,2,0
69,62,23,28,0
15,10,4,3,0
36,31,11,10,0
36,30,12,11,0
14,5,4,5,0
22,10,8,5,0
18,11,6,3,0
59,42,21,18,0
15,13,6,5,0
30,35,15,10,0
21,21,6,5,0
38,36,12,13,0
6,4,3,2,0
15,18,6,6,0
18,18,8,6,0
13,5,4,2,0
9,10,5,3,0
42,30,14,12,0
9,17,4,4,0
16,13,6,4,0
39,27,11,9,0
6,7,3,2,0
9,14,4,3,0
6,11,3,3,0
39,40,17,13,0
12,17,5,4,0
12,21,5,5,0
9,14,4,3,0
61,36,19,16,0
39,23,13,10,0
37,34,10,12,0
21,26,8,9,0
22,21,7,9,0
29,22,8,14,0
13,7,4,2,0
15,17,6,5,0
12,8,3,2,0
23,16,6,7,0
16,9,5,3,0
30,15,8,6,0
33,15,10,6,0
37,29,14,10,0
47,32,16,14,0
12,20,5,5,0
12,10,7,4,0
32,14,10,5,0
29,18,8,5,0
14,9,3,8,0
47,33,15,14,0
19,21,7,8,0
21,19,9,6,0
37,18,13,10,0
26,17,9,8,0
11,5,3,4,0
32,14,10,5,0
11,4,3,4,0
6,7,3,2,0
27,22,7,7,0
24,10,7,6,0
27,17,6,6,0
17,7,4,5,0
28,25,10,7,0
34,23,12,9,0
23,15,8,8,0
27,26,15,8,0
43,29,11,18,0
12,5,3,2,0
34,16,7,10,0
12,11,7,4,0
16,10,6,3,0
22,12,4,7,0
9,9,5,3,0
41,22,12,12,1
46,16,6,11,1
51,36,14,14,1
52,34,17,12,1
28,17,9,7,1
22,14,5,8,1
15,7,3,3,1
26,14,7,4,1
41,19,11,6,1
23,9,6,3,1
36,25,13,9,1
18,10,4,4,1
28,18,11,5,1
25,20,6,9,1
16,13,5,3,1
37,32,15,10,1
24,9,4,8,1
69,44,27,17,1
26,11,4,10,1
23,11,6,4,1
19,9,4,7,1
15,20,7,5,1
21,16,6,6,1
51,49,17,15,1
48,40,22,12,1
27,9,6,6,1
19,15,6,8,1
49,26,12,13,1
76,48,30,18,1
28,7,6,5,1
18,11,4,4,1
39,28,15,11,1
52,25,17,12,1
36,22,9,9,1
38,32,13,13,1
9,15,4,4,1
33,12,7,7,1
23,9,6,3,1
52,38,19,14,1
18,10,5,4,1
40,18,12,13,1
18,11,4,8,1
19,25,6,8,1
36,23,12,12,1
24,27,7,6,1
27,27,15,7,1
9,13,5,3,1
18,13,4,9,1
50,29,14,18,1
25,9,5,4,1
24,18,7,6,1
43,25,17,13,1
35,19,12,9,1
19,8,5,7,1
18,8,4,4,1
18,25,7,6,1
12,8,6,3,1
28,20,10,7,1
16,5,3,6,1
71,51,25,22,1
23,10,6,3,1
107,72,30,30,1
25,14,6,4,1
16,11,5,3,1
27,9,4,5,1
28,10,8,9,1
17,10,5,6,1
31,18,12,10,1
70,35,17,19,1
19,11,7,4,1
58,36,13,20,1
25,10,6,7,1
60,46,19,21,1
21,9,5,5,1
21,23,9,7,1
20,11,6,7,1
39,25,16,11,1
51,13,6,9,1
21,10,5,5,1
22,14,5,8,1
25,13,9,5,1
43,42,16,12,1
23,6,6,3,1
29,7,6,3,1
17,17,5,6,1
40,27,12,10,1
28,7,4,8,1
33,14,13,6,1
45,23,11,8,1
35,21,10,10,1
18,11,4,4,1
33,21,7,12,1
85,54,21,30,1
21,22,10,7,1
22,28,8,9,1
27,9,4,9,1
36,29,12,13,1
29,15,10,8,1
18,13,8,6,1
15,18,7,5,1
22,5,4,3,1
22,12,4,7,1
27,25,7,12,1
22,14,5,8,1
36,31,14,9,1
18,20,5,6,1
55,57,20,20,1
27,10,6,5,1
18,9,4,8,1
11,8,3,4,1
21,10,5,5,1
12,6,3,2,1
51,32,16,15,1
27,28,12,9,1
57,23,17,17,1
31,17,9,5,1
14,12,4,5,1
18,8,4,8,1
9,15,4,4,1
19,11,6,4,1
18,13,4,4,1
14,11,5,5,1
17,10,5,6,1
24,7,4,9,1
18,13,4,4,1
46,23,19,10,1
23,10,4,6,1
26,7,8,3,1
25,7,4,7,1
14,11,5,5,1
24,10,4,4,1
25,20,8,6,1
72,50,26,20,1
58,62,25,22,1
33,29,16,10,1
24,22,6,10,1
27,17,9,6,1
26,8,7,4,1
60,53,26,17,1
12,20,5,5,1
37,19,13,11,1
32,7,6,4,1
18,10,7,3,1
60,46,19,21,1
21,15,7,5,1
43,24,13,11,1
28,13,7,5,1
28,7,4,8,1
53,29,16,14,1
12,9,5,4,1
26,18,11,8,1
18,9,4,4,1
25,7,4,7,1
41,27,9,15,1
21,8,7,4,1
37,22,13,12,1
30,20,10,7,1
18,11,4,8,1
23,8,6,3,1
23,9,4,6,1
9,11,4,3,1
23,13,5,6,1
41,34,17,12,1
17,9,5,6,1
14,6,4,5,1
9,6,4,3,1
34,12,9,6,1
25,18,10,8,1
14,11,4,5,1
17,11,5,7,1
24,8,7,5,1
21,10,6,4,1
22,14,5,8,1
27,9,6,6,1
73,50,20,19,1
12,12,5,4,1
19,11,6,4,1
22,12,4,7,1
36,35,11,15,1
20,10,4,5,1
18,12,4,8,1
