sp2,sp3,numO,numN,
52,34,17,12,1
28,17,9,7,1
22,14,5,8,1
15,7,3,3,1
26,14,7,4,1
41,19,11,6,1
23,9,6,3,1
36,25,13,9,1
18,10,4,4,1
28,18,11,5,1
25,20,6,9,1
16,13,5,3,1
37,32,15,10,1
24,9,4,8,1
69,44,27,17,1
26,11,4,10,1
23,11,6,4,1
19,9,4,7,1
15,20,7,5,1
21,16,6,6,1
51,49,17,15,1
48,40,22,12,1
27,9,6,6,1
19,15,6,8,1
49,26,12,13,1
76,48,30,18,1
28,7,6,5,1
18,11,4,4,1
39,28,15,11,1
52,25,17,12,1
36,22,9,9,1
38,32,13,13,1
9,15,4,4,1
33,12,7,7,1
23,9,6,3,1
52,38,19,14,1
18,10,5,4,1
40,18,12,13,1
18,11,4,8,1
19,25,6,8,1
36,23,12,12,1
24,27,7,6,1
27,27,15,7,1
9,13,5,3,1
18,13,4,9,1
50,29,14,18,1
25,9,5,4,1
24,18,7,6,1
43,25,17,13,1
35,19,12,9,1
19,8,5,7,1
18,8,4,4,1
18,25,7,6,1
12,8,6,3,1
28,20,10,7,1
16,5,3,6,1
71,51,25,22,1
23,10,6,3,1
107,72,30,30,1
25,14,6,4,1
16,11,5,3,1
27,9,4,5,1
28,10,8,9,1
17,10,5,6,1
31,18,12,10,1
70,35,17,19,1
19,11,7,4,1
58,36,13,20,1
25,10,6,7,1
60,46,19,21,1
21,9,5,5,1
21,23,9,7,1
20,11,6,7,1
39,25,16,11,1
51,13,6,9,1
21,10,5,5,1
22,14,5,8,1
25,13,9,5,1
43,42,16,12,1
23,6,6,3,1
29,7,6,3,1
17,17,5,6,1
40,27,12,10,1
28,7,4,8,1
33,14,13,6,1
45,23,11,8,1
35,21,10,10,1
18,11,4,4,1
33,21,7,12,1
85,54,21,30,1
21,22,10,7,1
22,28,8,9,1
27,9,4,9,1
36,29,12,13,1
29,15,10,8,1
18,13,8,6,1
15,18,7,5,1
22,5,4,3,1
22,12,4,7,1
27,25,7,12,1
22,14,5,8,1
36,31,14,9,1
18,20,5,6,1
55,57,20,20,1
27,10,6,5,1
18,9,4,8,1
11,8,3,4,1
21,10,5,5,1
12,6,3,2,1
51,32,16,15,1
27,28,12,9,1
57,23,17,17,1
31,17,9,5,1
14,12,4,5,1
18,8,4,8,1
9,15,4,4,1
19,11,6,4,1
18,13,4,4,1
14,11,5,5,1
17,10,5,6,1
24,7,4,9,1
18,13,4,4,1
46,23,19,10,1
23,10,4,6,1
26,7,8,3,1
25,7,4,7,1
14,11,5,5,1
24,10,4,4,1
25,20,8,6,1
72,50,26,20,1
58,62,25,22,1
33,29,16,10,1
24,22,6,10,1
27,17,9,6,1
26,8,7,4,1
60,53,26,17,1
12,20,5,5,1
37,19,13,11,1
32,7,6,4,1
18,10,7,3,1
60,46,19,21,1
21,15,7,5,1
43,24,13,11,1
28,13,7,5,1
28,7,4,8,1
53,29,16,14,1
12,9,5,4,1
26,18,11,8,1
18,9,4,4,1
25,7,4,7,1
41,27,9,15,1
21,8,7,4,1
37,22,13,12,1
30,20,10,7,1
18,11,4,8,1
23,8,6,3,1
23,9,4,6,1
9,11,4,3,1
23,13,5,6,1
41,34,17,12,1
17,9,5,6,1
14,6,4,5,1
9,6,4,3,1
34,12,9,6,1
25,18,10,8,1
14,11,4,5,1
17,11,5,7,1
24,8,7,5,1
21,10,6,4,1
22,14,5,8,1
27,9,6,6,1
73,50,20,19,1
12,12,5,4,1
19,11,6,4,1
22,12,4,7,1
36,35,11,15,1
20,10,4,5,1
18,12,4,8,1
24,25,11,7,1
47,31,19,12,1
18,15,8,5,1
26,7,8,3,1
29,9,5,7,1
43,30,14,13,1
31,34,12,12,1
19,7,4,7,1
12,10,5,4,1
27,13,7,7,1
51,49,17,15,1
27,13,5,5,1
26,24,7,10,1
104,68,30,29,1
34,29,13,9,1
21,32,9,7,1
36,25,12,9,1
21,26,10,7,1
26,22,9,9,1
33,21,9,9,1
32,14,8,9,1
23,8,6,3,1
12,12,6,3,1
16,14,5,4,1
27,33,11,10,1
14,8,4,5,1
17,10,6,5,1
25,9,5,8,1
19,10,4,7,1
18,12,4,4,1
18,12,4,8,1
30,19,6,7,1
23,9,7,3,1
22,11,4,7,1
26,7,7,4,1
30,17,8,8,1
30,19,11,7,1
21,10,6,4,1
14,9,4,5,1
24,23,11,7,1
14,12,4,5,1
29,7,6,3,1
45,25,15,12,1
14,11,4,6,1
21,32,9,7,1
18,8,7,3,1
34,20,9,7,1
19,9,8,3,1
25,9,5,8,1
28,13,7,5,1
42,13,7,8,1
11,8,3,4,1
25,17,9,6,1
14,11,4,5,1
57,34,20,15,1
15,7,4,3,1
21,11,5,5,1
14,13,4,5,1
67,49,20,21,1
40,29,14,10,1
27,22,10,9,1
23,9,6,3,1
19,18,7,5,1
31,27,12,7,1
