sp2,sp3,numO,numN,
15,11,4,3,1
13,14,4,6,1
17,7,5,6,1
22,24,7,11,1
6,3,3,2,1
18,5,4,4,1
36,23,10,8,1
15,7,3,3,1
9,16,4,4,1
9,9,4,3,1
31,18,8,10,1
15,11,4,3,1
23,14,7,7,1
9,8,4,3,1
68,53,20,17,1
29,23,9,9,1
29,17,6,12,1
21,8,6,5,1
41,39,14,14,1
15,17,7,4,1
6,10,3,2,1
9,10,4,3,1
38,29,12,13,1
12,7,3,2,1
31,32,10,11,1
9,15,4,4,1
25,9,5,4,1
37,26,10,12,1
26,17,10,8,1
18,22,7,7,1
15,12,4,3,1
15,10,9,4,1
47,20,16,14,1
15,13,7,4,1
23,19,7,8,1
13,9,4,3,1
15,5,3,3,1
49,33,16,12,1
33,22,11,9,1
22,22,8,6,1
26,17,10,8,1
14,10,5,5,1
20,20,6,7,1
27,30,11,9,1
11,9,3,5,1
53,28,18,15,1
24,17,8,6,1
13,13,4,6,1
15,15,6,5,1
11,7,3,4,1
20,18,6,7,1
25,19,9,5,1
15,4,3,3,1
24,19,11,7,1
72,39,35,15,1
21,17,7,5,1
24,23,10,8,1
22,10,8,5,1
23,23,7,9,1
20,11,5,6,1
9,12,4,3,1
21,27,9,8,1
9,12,4,4,1
9,14,6,3,1
39,17,8,9,1
15,12,8,3,1
31,18,10,9,1
9,8,4,3,1
12,9,6,3,1
6,11,3,3,1
6,12,3,3,1
51,33,15,17,1
31,22,8,6,1
16,11,5,3,1
15,15,7,4,1
52,33,15,16,1
35,17,11,6,1
27,28,14,7,1
9,8,5,2,1
21,10,5,5,1
16,12,5,3,1
35,16,11,7,1
19,9,5,7,1
25,18,8,10,1
30,27,14,9,1
13,8,4,2,1
28,22,10,8,1
16,14,5,7,1
37,30,10,12,1
24,11,9,5,1
15,10,4,4,1
12,6,4,2,1
19,12,7,4,1
22,22,8,6,1
15,14,6,5,1
24,20,7,6,1
44,21,12,7,1
27,24,9,8,1
21,30,8,7,1
9,14,4,3,1
6,7,3,2,1
15,17,6,5,1
27,33,12,8,1
19,7,3,6,1
26,31,8,9,1
21,10,4,3,1
15,23,6,5,1
9,11,4,3,1
15,15,7,4,1
12,8,3,2,1
24,18,7,6,1
19,18,6,4,1
21,14,8,5,1
30,13,7,7,1
6,7,3,2,1
63,45,16,31,1
38,29,14,12,1
27,20,10,9,1
24,14,7,6,1
15,19,6,5,1
12,8,3,2,1
32,16,10,6,1
12,9,5,4,1
37,31,14,13,1
16,12,5,3,1
36,19,9,11,1
9,11,4,3,1
79,68,25,22,1
42,43,14,12,1
22,22,7,6,1
23,11,6,4,1
48,23,16,10,1
16,10,5,4,1
9,10,4,3,1
38,18,9,6,1
34,16,9,7,1
9,15,4,3,1
18,16,8,5,1
11,4,3,4,1
48,36,19,14,1
16,16,6,7,1
23,24,8,8,1
45,33,16,13,1
20,20,6,7,1
15,12,5,3,1
22,20,8,5,1
9,12,4,4,1
14,9,3,8,1
35,13,8,5,1
9,11,4,3,1
34,26,14,8,1
10,7,3,5,1
9,6,5,2,1
18,18,8,7,1
16,14,5,4,1
13,8,4,2,1
9,12,5,3,1
30,27,11,9,1
50,42,15,16,1
15,10,7,4,1
9,11,4,3,1
12,9,5,4,1
20,11,5,6,1
9,16,4,4,1
9,11,4,3,1
18,28,7,7,1
23,10,6,7,1
13,9,4,3,1
41,27,12,12,1
24,20,6,7,1
9,12,4,3,1
49,25,11,14,1
27,30,11,9,1
9,11,4,3,1
9,4,5,2,1
22,23,7,9,1
10,9,3,5,1
12,11,5,4,1
18,19,8,6,1
18,23,7,7,1
13,9,4,3,1
18,10,4,4,1
9,5,5,2,1
9,15,4,5,1
15,9,4,3,1
35,16,11,6,1
13,9,4,3,1
45,32,13,13,1
25,26,8,11,1
18,5,4,4,1
18,22,8,6,1
9,12,4,3,1
12,4,3,2,1
29,15,6,12,1
18,21,7,6,1
31,18,8,10,1
9,9,4,3,1
39,25,12,11,1
6,3,3,2,1
57,62,22,22,1
27,24,10,9,1
28,14,5,7,1
12,13,5,4,1
43,27,14,9,1
56,44,19,17,1
12,13,5,4,1
32,18,10,10,1
46,34,13,14,1
9,8,4,3,1
20,16,6,7,1
45,26,14,10,1
36,32,15,10,1
18,14,4,5,1
18,20,7,6,1
33,20,12,9,1
9,8,4,3,1
6,7,3,2,1
12,13,5,4,1
29,18,6,9,1
30,23,9,9,1
16,10,6,3,1
23,13,6,7,1
15,5,5,2,1
15,8,3,3,1
42,34,14,11,1
9,11,4,3,1
34,36,13,14,1
12,6,4,2,1
18,19,7,7,1
60,45,22,14,1
41,16,11,6,1
39,25,13,11,1
13,8,4,2,1
12,19,5,4,1
12,12,5,4,1
13,6,5,2,1
13,14,4,6,1
15,15,7,5,1
34,21,10,6,1
13,5,4,2,1
69,62,23,28,1
15,10,4,3,1
36,31,11,10,1
36,30,12,11,1
14,5,4,5,1
22,10,8,5,1
18,11,6,3,1
59,42,21,18,1
15,13,6,5,1
30,35,15,10,1
21,21,6,5,1
38,36,12,13,1
6,4,3,2,1
15,18,6,6,1
18,18,8,6,1
13,5,4,2,1
9,10,5,3,1
42,30,14,12,1
9,17,4,4,1
16,13,6,4,1
39,27,11,9,1
6,7,3,2,1
9,14,4,3,1
6,11,3,3,1
39,40,17,13,1
12,17,5,4,1
12,21,5,5,1
9,14,4,3,1
61,36,19,16,1
39,23,13,10,1
37,34,10,12,1
21,26,8,9,1
22,21,7,9,1
29,22,8,14,1
13,7,4,2,1
15,17,6,5,1
12,8,3,2,1
23,16,6,7,1
16,9,5,3,1
30,15,8,6,1
33,15,10,6,1
37,29,14,10,1
47,32,16,14,1
12,20,5,5,1
12,10,7,4,1
32,14,10,5,1
29,18,8,5,1
14,9,3,8,1
47,33,15,14,1
19,21,7,8,1
21,19,9,6,1
37,18,13,10,1
